date,volume,open,high,low,close,MACD,RSI
2020-10-21,21954.17,10.0,11.409,9.05,9.27,0.0,
2020-10-22,43072.29,9.594,11.047,9.2,9.808,0.04,
2020-10-23,21782.42,9.999,11.538,9.9,11.19,0.19,
2020-10-24,30324.0,11.514,12.3,11.005,11.2,0.3,
2020-10-25,29785.19,11.2,11.354,10.334,10.45,0.32,
2020-10-26,32022.82,10.401,10.821,8.756,9.412,0.25,
2020-10-27,25534.69,9.442,10.294,9.147,9.298,0.19,
2020-10-28,50278.93,9.2,9.58,7.666,8.204,0.05,
2020-10-29,89000.92,8.221,8.55,5.983,6.25,-0.22,
2020-10-30,355773.25,6.26,7.93,4.912,6.273,-0.42,
2020-10-31,216588.35,6.331,6.937,5.374,5.676,-0.63,
2020-11-01,236622.79,5.628,6.202,5.108,5.857,-0.76,
2020-11-02,250337.51,5.944,6.436,5.15,5.193,-0.92,
2020-11-03,371515.72,5.15,5.35,4.391,4.471,-1.08,
2020-11-04,773893.77,4.461,4.786,3.472,3.67,-1.26,21.63
2020-11-05,1585359.9,3.669,4.961,2.701,3.416,-1.41,16.65
2020-11-06,1338740.91,3.441,7.295,3.334,7.07,-1.22,32.62
2020-11-07,2587052.61,7.139,16.627,7.1,10.1,-0.81,46.3
2020-11-08,993158.73,10.082,13.2,8.528,11.2,-0.4,52.46
2020-11-09,649356.57,11.248,12.046,9.181,11.0,-0.09,55.52
2020-11-10,912169.2,10.9,19.788,10.4,18.257,0.74,70.8
2020-11-11,819240.05,18.297,20.88,11.643,13.304,0.98,60.04
2020-11-12,706222.17,13.385,14.247,10.5,11.289,1.0,59.9
2020-11-13,528513.67,11.28,15.4,10.758,14.525,1.26,64.39
2020-11-14,491150.21,14.513,14.649,11.5,13.324,1.36,63.07
2020-11-15,506516.48,13.361,15.682,11.711,13.75,1.45,63.37
2020-11-16,512462.09,13.656,17.308,12.48,15.466,1.64,66.81
2020-11-17,547533.99,15.43,30.169,15.239,27.791,2.76,77.65
2020-11-18,762366.1,27.791,33.419,19.3,31.6,3.9,80.91
2020-11-19,526768.33,31.6,42.49,28.261,37.766,5.25,83.62
2020-11-20,331998.48,37.854,43.473,32.461,34.565,5.99,77.15
2020-11-21,354789.61,34.799,37.878,26.772,29.212,6.07,68.04
2020-11-22,939827.75,29.22,34.9,21.25,28.507,6.01,66.46
2020-11-23,373646.84,28.522,33.052,25.331,30.129,6.03,67.72
2020-11-24,293392.77,30.174,33.209,25.322,28.74,5.86,60.89
2020-11-25,211514.97,28.718,28.927,20.783,22.706,5.18,59.56
2020-11-26,902972.28,22.721,23.999,14.311,23.999,4.69,63.11
