date,volume,open,high,low,close,MACD,RSI
2021-09-24,15307717.5,6.107,8.5,5.985,7.049,0.0,
2021-09-25,7423235.4,7.048,7.176,5.166,5.787,-0.1,
2021-09-26,6237006.4,5.784,5.8,4.632,5.119,-0.23,
2021-09-27,3889801.9,5.113,5.63,5.001,5.228,-0.32,
2021-09-28,6390704.0,5.24,6.149,5.108,5.375,-0.38,
2021-09-29,3559602.8,5.375,6.0,5.37,5.562,-0.4,
2021-09-30,3933323.4,5.559,6.432,5.537,6.191,-0.37,
2021-10-01,5481331.5,6.204,8.099,6.143,7.942,-0.2,
2021-10-02,8235413.7,7.934,8.986,7.503,7.788,-0.07,
2021-10-03,4009825.2,7.788,7.907,7.085,7.687,0.02,
2021-10-04,5631367.6,7.697,8.17,6.953,7.13,0.04,
2021-10-05,3751266.9,7.126,7.92,7.051,7.847,0.12,
2021-10-06,4372815.2,7.85,8.449,7.125,7.975,0.19,
2021-10-07,2675439.6,7.979,8.2,7.489,7.867,0.23,
2021-10-08,1973385.2,7.876,7.894,7.17,7.375,0.23,52.33
2021-10-09,1430151.6,7.375,7.399,6.77,6.789,0.17,57.91
2021-10-10,1153337.3,6.789,6.99,6.465,6.55,0.11,62.12
2021-10-11,1348268.3,6.545,7.093,6.3,6.719,0.07,62.5
2021-10-12,1152616.5,6.719,6.719,6.1,6.263,0.0,57.08
2021-10-13,1474213.0,6.273,6.522,5.858,6.182,-0.06,55.03
2021-10-14,3249817.3,6.18,7.29,6.18,6.821,-0.05,55.1
2021-10-15,2240297.7,6.821,7.345,6.437,6.729,-0.06,36.58
2021-10-16,824410.2,6.724,6.906,6.5,6.63,-0.06,37.03
2021-10-17,612795.0,6.63,6.693,6.107,6.316,-0.1,35.34
2021-10-18,967899.2,6.322,6.695,6.0,6.144,-0.13,38.51
2021-10-19,445939.9,6.143,6.23,6.0,6.012,-0.17,25.25
2021-10-20,2221375.2,6.024,7.2,5.956,6.895,-0.13,37.9
2021-10-21,871697.0,6.895,6.966,6.526,6.636,-0.12,36.66
2021-10-22,892138.6,6.653,6.666,6.223,6.38,-0.12,38.63
2021-10-23,708123.9,6.378,6.655,6.22,6.37,-0.13,44.49
2021-10-24,475822.1,6.365,6.438,6.103,6.183,-0.15,45.11
2021-10-25,715209.1,6.187,6.494,6.176,6.475,-0.14,46.85
2021-10-26,727207.7,6.475,6.491,6.02,6.107,-0.16,47.94
2021-10-27,1498911.8,6.117,6.4,5.2,5.39,-0.23,41.04
2021-10-28,2257907.3,5.389,5.74,5.2,5.493,-0.27,32.9
2021-10-29,3818353.7,5.489,6.865,5.463,6.447,-0.23,47.03
2021-10-30,5216144.6,6.435,8.211,6.105,7.686,-0.09,58.97
2021-10-31,4189869.5,7.681,8.39,6.234,6.788,-0.05,53.65
2021-11-01,1586373.4,6.787,6.983,6.272,6.414,-0.05,52.02
2021-11-02,2041006.6,6.406,7.15,6.399,7.114,0.0,57.61
2021-11-03,2005190.6,7.116,7.349,6.45,6.725,0.01,48.74
2021-11-04,4894513.3,6.725,8.18,6.633,7.145,0.06,53.68
2021-11-05,2715721.0,7.146,7.48,6.66,6.729,0.06,52.47
2021-11-06,1485477.9,6.729,7.065,6.485,6.76,0.06,52.75
2021-11-07,1005752.3,6.758,7.197,6.7,6.837,0.07,54.69
2021-11-08,1187199.5,6.837,6.899,6.5,6.506,0.04,50.22
2021-11-09,955325.4,6.506,6.589,6.21,6.283,0.01,51.28
2021-11-10,1219368.1,6.283,6.486,5.6,5.928,-0.05,54.13
2021-11-11,683379.8,5.928,6.278,5.874,6.161,-0.07,55.03
2021-11-12,1158080.3,6.155,6.342,5.78,6.091,-0.1,46.91
2021-11-13,1660663.6,6.09,6.69,6.09,6.38,-0.09,36.41
2021-11-14,747575.8,6.372,6.681,6.236,6.315,-0.09,44.05
2021-11-15,1356254.3,6.315,6.849,6.315,6.765,-0.05,54.33
2021-11-16,2163902.6,6.765,6.784,5.942,6.233,-0.07,38.65
2021-11-17,6277762.0,6.22,7.868,5.968,7.578,0.03,58.82
2021-11-18,17721249.6,7.59,9.278,7.339,8.378,0.17,61.82
2021-11-19,6344294.7,8.379,9.128,7.623,7.74,0.23,59.29
2021-11-20,12953414.2,7.741,11.5,7.691,9.671,0.42,69.83
2021-11-21,8699691.7,9.679,11.5,8.341,8.341,0.47,58.75
2021-11-22,5136436.4,8.351,8.639,7.73,7.793,0.45,57.31
2021-11-23,5586476.0,7.793,8.993,7.65,8.685,0.5,62.67
2021-11-24,6744248.8,8.683,9.365,8.365,9.043,0.57,66.43
2021-11-25,6047769.0,9.06,9.168,7.983,8.58,0.58,62.45
2021-11-26,4605572.1,8.587,8.635,6.838,7.208,0.47,55.07
2021-11-27,2358926.8,7.214,7.7,7.0,7.16,0.37,53.62
2021-11-28,3814654.0,7.16,7.899,6.601,7.755,0.34,56.37
2021-11-29,3096200.3,7.755,8.109,7.312,7.475,0.29,53.19
2021-11-30,3026314.6,7.476,7.678,6.897,7.616,0.26,56.44
2021-12-01,8852191.3,7.616,8.952,7.45,8.797,0.32,55.76
2021-12-02,6094654.2,8.797,9.901,7.832,8.022,0.31,48.31
2021-12-03,2846029.9,8.026,8.234,7.049,7.501,0.25,48.85
2021-12-04,4676528.3,7.501,7.502,5.082,6.514,0.13,33.37
2021-12-05,1940810.3,6.517,6.75,5.802,6.18,0.0,37.28
