date,volume,open,high,low,close,MACD,RSI
2019-03-21,7780.91395,58.5,59.1,53.31,55.14,0.0,
2019-03-22,5182.07127,55.37,56.56,54.42,55.07,-0.01,
2019-03-23,3435.73138,55.06,56.9,54.78,56.9,0.14,
2019-03-24,8357.05638,56.8,58.44,55.81,57.21,0.27,
2019-03-25,4922.4201,57.06,57.13,53.78,55.32,0.22,
2019-03-26,3951.24438,55.32,55.5,52.72,54.49,0.11,
2019-03-27,4350.00589,54.5,57.35,54.49,56.96,0.23,
2019-03-28,5429.87373,56.8,56.8,55.29,56.18,0.25,
2019-03-29,8048.82943,56.15,58.12,55.1,57.14,0.34,
2019-03-30,3709.98578,57.15,57.44,55.6,57.1,0.41,
2019-03-31,11424.86631,56.81,59.52,56.73,58.65,0.58,
2019-04-01,14320.42676,58.78,63.68,58.13,62.7,1.03,
2019-04-02,29209.1403,62.69,70.99,60.56,69.6,1.92,
2019-04-03,26319.22623,69.53,77.0,66.0,69.55,2.59,
2019-04-04,11785.24136,69.11,71.37,64.59,66.78,2.86,73.76
2019-04-05,13442.0753,66.91,72.62,66.91,72.05,3.47,78.59
2019-04-06,7766.29711,71.62,73.12,69.14,71.23,3.84,74.97
2019-04-07,14712.68656,71.38,75.0,70.52,74.37,4.33,77.22
2019-04-08,14024.24424,74.21,76.07,68.85,72.19,4.5,76.52
2019-04-09,14949.76326,72.2,72.2,68.6,70.3,4.42,74.05
2019-04-10,10810.99401,70.43,73.79,70.07,71.75,4.43,73.22
2019-04-11,13912.92374,71.85,72.11,63.32,69.61,4.22,70.22
2019-04-12,21759.37412,69.59,71.81,67.14,70.94,4.11,70.55
2019-04-13,5477.3534,71.09,71.24,68.3,69.08,3.83,66.92
2019-04-14,4003.31204,69.11,70.25,66.95,69.6,3.6,65.93
2019-04-15,6269.86479,69.6,70.28,65.4,67.45,3.22,57.31
2019-04-16,4636.8703,67.42,69.48,66.76,68.98,3.0,48.86
