date,volume,open,high,low,close,MACD,RSI
2020-07-06,12769.436,6.525,7.094,6.525,7.058,0.0,
2020-07-07,25134.47,7.058,8.9,6.8,6.84,-0.02,
2020-07-08,28936.534,6.84,6.98,6.5,6.931,-0.02,
2020-07-09,52143.04,6.931,7.734,6.823,7.462,0.01,
2020-07-10,48342.74,7.462,7.89,7.165,7.355,0.04,
2020-07-11,48653.524,7.35,8.8,7.211,7.242,0.04,
2020-07-12,15711.617,7.242,7.492,7.112,7.214,0.04,
2020-07-13,43383.425,7.23,7.886,7.093,7.505,0.07,
2020-07-14,20774.87,7.481,7.564,6.91,7.189,0.06,
2020-07-15,36815.82,7.189,7.734,7.14,7.462,0.08,
2020-07-16,27170.055,7.477,7.728,7.0,7.537,0.1,
2020-07-17,9708.797,7.537,7.6,7.341,7.475,0.1,
2020-07-18,10597.931,7.447,7.567,7.238,7.492,0.11,
2020-07-19,75328.538,7.48,8.5,7.477,8.139,0.17,
2020-07-20,42137.941,8.14,8.548,7.9,8.087,0.2,68.24
2020-07-21,19996.089,8.069,8.45,7.93,8.072,0.23,73.53
2020-07-22,10721.434,8.056,8.3,7.957,8.09,0.25,72.77
2020-07-23,38414.479,8.09,9.09,8.09,8.727,0.31,73.86
2020-07-24,38081.302,8.726,9.664,8.639,9.459,0.41,82.11
2020-07-25,26856.708,9.459,9.511,8.996,9.095,0.46,76.27
2020-07-26,35115.059,9.095,9.399,8.733,9.387,0.52,78.66
2020-07-27,50484.173,9.332,9.483,8.2,8.724,0.5,64.64
2020-07-28,35064.027,8.732,8.804,8.06,8.374,0.46,64.12
2020-07-29,21435.651,8.374,8.525,8.06,8.128,0.4,57.99
2020-07-30,14657.599,8.088,8.364,8.06,8.194,0.35,57.89
2020-07-31,17347.695,8.198,8.336,7.891,8.099,0.3,57.44
2020-08-01,55745.201,8.107,9.4,8.003,8.903,0.32,64.16
2020-08-02,45501.743,8.872,9.354,8.047,8.511,0.31,53.94
2020-08-03,23788.253,8.511,9.078,8.3,8.914,0.32,58.14
2020-08-04,18833.932,8.929,9.2,8.678,9.016,0.34,59.14
2020-08-05,19692.997,8.986,9.34,8.879,9.289,0.37,61.06
2020-08-06,28133.372,9.289,9.75,9.108,9.552,0.41,58.18
2020-08-07,45760.629,9.487,10.16,9.415,9.873,0.46,54.47
2020-08-08,70549.56,9.873,11.489,9.865,10.9,0.58,67.04
2020-08-09,44296.264,10.924,11.304,10.2,10.498,0.64,60.27
2020-08-10,60981.724,10.498,10.9,10.001,10.351,0.66,66.63
2020-08-11,64537.616,10.351,11.23,9.85,10.55,0.69,72.95
2020-08-12,52019.858,10.55,11.269,10.09,10.491,0.69,75.95
2020-08-13,33283.129,10.535,10.579,9.784,10.281,0.68,72.22
2020-08-14,24863.358,10.241,10.653,10.1,10.462,0.67,74.7
2020-08-15,28622.755,10.462,10.56,9.89,10.066,0.62,63.29
2020-08-16,51269.517,10.041,10.1,9.528,10.01,0.58,68.56
2020-08-17,36604.103,10.01,10.394,9.804,10.036,0.54,65.32
2020-08-18,36061.335,10.043,10.193,8.673,9.518,0.46,56.15
2020-08-19,28963.653,9.469,9.653,8.728,9.029,0.35,46.97
2020-08-20,18929.8,9.066,9.588,8.976,9.563,0.3,50.12
2020-08-21,119493.422,9.588,10.819,9.5,9.56,0.26,46.32
2020-08-22,43435.048,9.57,10.229,9.1,9.768,0.25,33.49
2020-08-23,19255.275,9.769,9.808,9.21,9.348,0.2,33.31
2020-08-24,20346.39,9.307,9.511,9.197,9.442,0.16,36.6
2020-08-25,33257.984,9.441,9.521,8.369,8.755,0.08,26.87
2020-08-26,22240.409,8.735,10.5,8.626,8.801,0.02,28.15
2020-08-27,27923.991,8.799,8.841,8.224,8.348,-0.07,26.49
2020-08-28,54994.719,8.349,8.7,8.14,8.367,-0.13,23.47
2020-08-29,23780.814,8.367,8.595,8.286,8.506,-0.17,28.87
2020-08-30,25882.222,8.506,8.848,8.4,8.721,-0.18,33.26
2020-08-31,28487.119,8.723,8.802,8.1,8.481,-0.2,30.87
2020-09-01,46036.931,8.497,9.022,8.309,8.824,-0.19,41.08
2020-09-02,53042.392,8.829,8.905,7.95,8.485,-0.21,42.73
2020-09-03,54011.566,8.425,8.516,6.4,6.519,-0.38,20.57
2020-09-04,43797.101,6.5,7.311,6.445,7.002,-0.47,27.37
2020-09-05,68589.338,7.02,7.198,5.558,6.001,-0.61,20.78
2020-09-06,31594.648,6.002,6.5,5.632,6.403,-0.69,27.09
2020-09-07,20668.358,6.389,6.421,5.855,6.27,-0.75,25.47
2020-09-08,36020.465,6.349,6.361,5.7,5.887,-0.82,26.73
2020-09-09,17357.904,5.862,6.276,5.752,6.065,-0.85,28.27
2020-09-10,26551.461,6.049,6.544,6.049,6.295,-0.84,33.09
2020-09-11,22321.245,6.306,6.622,6.009,6.504,-0.81,35.12
2020-09-12,21221.812,6.545,6.69,6.39,6.641,-0.77,35.1
2020-09-13,26742.906,6.633,6.634,6.0,6.285,-0.76,30.97
2020-09-14,18102.608,6.284,6.517,6.055,6.296,-0.74,32.3
2020-09-15,19384.53,6.322,6.468,6.06,6.117,-0.73,27.47
2020-09-16,17610.756,6.117,6.296,5.975,6.16,-0.71,29.64
2020-09-17,7193.461,6.125,6.295,6.026,6.127,-0.69,44.81
2020-09-18,20656.746,6.087,6.278,6.0,6.055,-0.67,35.94
2020-09-19,30170.825,6.029,6.113,5.848,5.929,-0.66,48.56
2020-09-20,18683.082,5.9,6.049,5.716,5.827,-0.65,36.86
2020-09-21,31921.636,5.827,5.962,5.364,5.415,-0.66,32.7
2020-09-22,21449.987,5.407,5.7,5.223,5.598,-0.66,43.64
2020-09-23,21858.005,5.597,5.947,5.334,5.412,-0.66,35.67
2020-09-24,19533.719,5.357,6.23,5.347,5.913,-0.61,42.51
2020-09-25,17072.847,5.913,6.124,5.721,5.961,-0.57,38.64
2020-09-26,12779.646,6.008,6.019,5.804,5.937,-0.52,34.53
2020-09-27,17466.895,5.919,5.994,5.498,5.718,-0.5,36.75
2020-09-28,13966.664,5.734,5.94,5.577,5.6,-0.49,34.51
2020-09-29,9817.97,5.608,5.665,5.5,5.616,-0.47,37.97
2020-09-30,13335.343,5.602,5.791,5.572,5.711,-0.45,39.48
2020-10-01,34144.39,5.684,5.958,5.305,5.467,-0.44,35.93
2020-10-02,27771.296,5.443,5.474,5.1,5.259,-0.45,33.96
2020-10-03,7736.208,5.278,5.382,5.216,5.315,-0.44,37.27
2020-10-04,6105.545,5.301,5.384,5.238,5.34,-0.43,39.57
2020-10-05,18641.523,5.36,5.547,5.338,5.404,-0.41,49.72
2020-10-06,17230.12,5.398,5.437,5.132,5.205,-0.41,40.19
2020-10-07,18372.647,5.176,5.22,5.1,5.134,-0.41,42.64
2020-10-08,23057.038,5.134,5.321,5.062,5.313,-0.39,30.84
2020-10-09,28702.922,5.283,5.519,5.148,5.516,-0.35,37.07
2020-10-10,21954.162,5.487,5.67,5.401,5.572,-0.32,39.59
2020-10-11,267278.449,5.553,7.981,5.54,6.869,-0.18,70.33
2020-10-12,154054.47,6.86,7.085,6.129,6.165,-0.13,58.27
2020-10-13,51155.803,6.155,6.305,6.016,6.15,-0.09,57.82
2020-10-14,53802.299,6.15,6.393,5.916,5.943,-0.07,53.29
2020-10-15,103073.392,5.941,6.758,5.782,6.126,-0.04,59.5
2020-10-16,47221.859,6.143,6.248,5.85,6.053,-0.02,61.91
2020-10-17,37318.384,6.05,6.275,5.875,5.925,-0.02,58.96
2020-10-18,18379.394,5.93,6.047,5.896,5.991,-0.01,59.45
2020-10-19,30279.237,5.991,6.0,5.73,5.771,-0.02,55.1
2020-10-20,35789.661,5.764,5.807,5.421,5.522,-0.05,54.34
2020-10-21,30436.781,5.497,5.928,5.476,5.655,-0.06,57.02
2020-10-22,28613.444,5.682,6.0,5.635,5.834,-0.06,57.02
2020-10-23,11469.284,5.815,5.903,5.681,5.752,-0.06,53.29
2020-10-24,19613.168,5.706,5.814,5.681,5.767,-0.06,52.75
2020-10-25,16163.669,5.766,5.815,5.591,5.671,-0.06,24.51
2020-10-26,23686.101,5.693,5.823,5.57,5.665,-0.07,34.87
2020-10-27,31209.017,5.653,5.758,5.358,5.464,-0.09,31.34
2020-10-28,19877.251,5.464,5.513,5.201,5.325,-0.11,32.54
2020-10-29,68760.365,5.287,5.949,5.268,5.551,-0.11,34.14
2020-10-30,33125.498,5.551,5.618,5.218,5.412,-0.12,32.94
2020-10-31,19491.801,5.416,5.697,5.349,5.62,-0.11,42.22
2020-11-01,8186.365,5.63,5.632,5.493,5.584,-0.1,39.45
2020-11-02,16902.874,5.584,5.665,5.41,5.557,-0.1,43.84
2020-11-03,20137.249,5.542,5.565,5.381,5.467,-0.1,48.26
2020-11-04,24278.709,5.48,5.528,5.158,5.174,-0.13,36.15
2020-11-05,36181.919,5.155,5.338,5.101,5.236,-0.14,31.54
2020-11-06,56699.176,5.236,5.676,5.217,5.613,-0.12,46.37
2020-11-07,96442.049,5.58,6.46,5.5,5.91,-0.08,53.25
2020-11-08,63026.002,5.95,6.35,5.892,6.186,-0.02,60.83
2020-11-09,40957.106,6.176,6.292,5.65,5.972,0.01,55.94
2020-11-10,67526.47,5.968,6.8,5.968,6.78,0.09,70.61
2020-11-11,56224.149,6.796,6.8,6.245,6.311,0.12,64.0
2020-11-12,32412.678,6.311,6.311,5.935,5.959,0.11,55.59
2020-11-13,14897.033,5.971,6.409,5.921,6.2,0.13,60.51
2020-11-14,36394.616,6.264,6.68,6.02,6.202,0.13,58.21
2020-11-15,30347.615,6.182,6.461,6.179,6.321,0.15,60.16
2020-11-16,47660.807,6.352,6.55,6.136,6.302,0.16,60.29
2020-11-17,43032.987,6.306,6.544,6.228,6.501,0.18,63.87
2020-11-18,33015.038,6.523,6.611,6.15,6.3,0.18,65.48
2020-11-19,27286.453,6.278,6.349,5.998,6.137,0.16,62.06
2020-11-20,43739.391,6.138,6.55,6.126,6.201,0.15,58.59
2020-11-21,385445.033,6.218,9.713,6.179,8.476,0.32,73.75
2020-11-22,328579.931,8.443,9.445,7.5,9.125,0.5,75.45
2020-11-23,781357.78,9.063,14.62,8.699,13.987,1.03,88.45
2020-11-24,505084.17,13.988,15.89,12.049,14.19,1.45,87.74
2020-11-25,958756.626,14.261,19.605,13.08,14.643,1.79,92.5
2020-11-26,753370.083,14.651,15.274,11.0,11.83,1.82,73.94
2020-11-27,384026.175,11.828,13.44,11.0,12.267,1.85,74.35
2020-11-28,568389.745,12.266,15.691,11.661,14.766,2.06,78.63
2020-11-29,385994.341,14.771,15.486,13.5,13.89,2.13,74.09
2020-11-30,526903.127,13.89,15.91,13.63,15.054,2.25,75.96
2020-12-01,608891.127,15.054,16.8,13.615,13.949,2.23,70.96
2020-12-02,345683.439,13.922,14.683,13.14,14.039,2.2,71.92
2020-12-03,258407.309,14.039,14.136,13.2,13.825,2.13,71.71
2020-12-04,396732.759,13.825,14.084,11.247,11.53,1.87,63.37
2020-12-05,214058.457,11.53,12.95,11.298,12.524,1.72,60.85
2020-12-06,153383.772,12.468,12.705,11.668,12.286,1.57,58.66
2020-12-07,259359.372,12.317,12.482,11.5,11.926,1.4,42.5
2020-12-08,392947.578,11.922,12.708,10.147,10.359,1.13,37.32
2020-12-09,222642.212,10.359,10.997,9.805,10.579,0.92,36.34
2020-12-10,191233.415,10.613,10.665,9.704,10.086,0.71,43.05
2020-12-11,189802.471,10.096,10.145,8.932,9.04,0.45,37.74
2020-12-12,228782.846,9.022,10.48,9.002,10.177,0.33,30.55
2020-12-13,281664.398,10.21,11.415,9.86,10.998,0.3,37.69
2020-12-14,328959.46,10.998,12.271,10.911,11.345,0.31,33.03
2020-12-15,224314.41,11.35,11.839,10.634,11.124,0.29,35.94
2020-12-16,306508.286,11.141,12.78,10.7,12.716,0.39,44.27
2020-12-17,483513.501,12.642,13.6,11.818,11.971,0.41,42.32
2020-12-18,258007.151,12.018,12.75,11.625,12.097,0.43,52.86
2020-12-19,201030.394,12.097,12.672,11.87,12.052,0.44,47.37
2020-12-20,174249.649,12.052,12.5,11.111,11.41,0.39,45.32
2020-12-21,273250.767,11.41,11.635,10.205,10.472,0.27,42.69
2020-12-22,180843.952,10.472,10.953,9.99,10.325,0.17,49.8
2020-12-23,261645.377,10.324,10.573,8.3,8.67,-0.05,40.41
2020-12-24,202707.947,8.65,10.015,8.303,9.76,-0.13,48.46
2020-12-25,347998.435,9.795,11.356,9.599,11.217,-0.08,59.93
2020-12-26,248691.663,11.242,12.2,10.45,11.914,0.02,58.25
2020-12-27,414929.949,11.913,13.297,11.9,12.581,0.15,57.63
2020-12-28,151113.765,12.582,13.175,11.684,12.153,0.21,53.87
2020-12-29,278905.752,12.166,12.337,10.272,11.583,0.21,52.13
2020-12-30,211733.269,11.6,12.254,10.6,10.825,0.15,40.51
2020-12-31,187352.518,10.83,11.687,10.3,11.608,0.17,48.19
2021-01-01,853203.322,11.569,14.649,11.301,11.74,0.19,48.22
2021-01-02,378355.839,11.772,12.541,11.24,11.704,0.2,48.26
2021-01-03,527536.09,11.775,14.713,11.566,13.53,0.35,59.48
2021-01-04,429982.404,13.531,15.2,11.602,13.461,0.46,64.49
2021-01-05,301440.95,13.488,14.899,12.747,14.372,0.61,68.26
2021-01-06,447730.611,14.399,16.576,13.537,16.047,0.86,83.23
2021-01-07,263743.69,16.048,16.198,13.59,14.592,0.92,71.07
2021-01-08,190980.294,14.618,14.88,13.2,14.481,0.96,66.13
2021-01-09,189088.399,14.48,15.997,13.976,15.697,1.07,67.78
2021-01-10,1828546.75,15.735,23.888,14.891,21.859,1.64,78.76
2021-01-11,3688788.466,21.882,29.614,17.211,24.034,2.24,83.23
2021-01-12,2048411.449,24.035,31.0,22.5,27.004,2.92,88.02
2021-01-13,1051834.242,27.006,28.32,23.9,26.89,3.41,90.91
2021-01-14,439591.465,26.878,27.578,24.643,25.139,3.61,82.84
2021-01-15,592294.211,25.107,26.0,21.589,23.557,3.61,76.79
2021-01-16,416878.655,23.578,26.913,23.5,24.283,3.62,77.65
2021-01-17,415992.403,24.234,29.749,22.809,28.158,3.9,79.5
2021-01-18,732988.73,28.1,34.172,28.099,30.375,4.25,81.39
2021-01-19,337993.822,30.459,32.7,28.4,29.262,4.39,77.43
2021-01-20,443393.596,29.212,33.127,27.336,31.652,4.63,78.01
2021-01-21,360007.925,31.735,33.25,26.0,27.602,4.45,71.36
2021-01-22,275314.529,27.604,29.99,24.69,27.525,4.25,71.44
2021-01-23,187024.111,27.478,29.66,26.7,27.207,4.02,69.5
2021-01-24,216773.264,27.145,29.228,26.519,27.234,3.8,61.49
2021-01-25,1448035.161,27.261,39.199,26.877,34.617,4.17,68.51
2021-01-26,617202.09,34.617,36.815,30.344,32.727,4.26,60.4
2021-01-27,416739.888,32.726,32.863,28.354,29.18,4.0,53.7
2021-01-28,565867.52,29.153,38.151,28.5,35.131,4.23,64.21
2021-01-29,325262.753,35.145,36.7,32.8,35.138,4.36,67.25
2021-01-30,337237.772,35.085,37.709,32.785,36.926,4.55,68.25
2021-01-31,289513.654,36.912,39.3,34.01,35.327,4.52,61.08
2021-02-01,217847.808,35.401,38.0,33.99,36.142,4.52,59.32
2021-02-02,218997.109,36.142,37.38,34.695,35.648,4.42,60.53
2021-02-03,162768.749,35.574,35.7,34.351,35.525,4.28,56.9
2021-02-04,230611.067,35.527,38.1,34.589,36.563,4.21,67.88
2021-02-05,235512.967,36.532,39.0,35.0,38.184,4.23,70.03
2021-02-06,178579.504,38.183,38.333,35.454,36.236,4.05,65.99
2021-02-07,232478.62,36.236,36.533,31.549,33.637,3.65,60.39
2021-02-08,152436.892,33.622,35.918,33.33,34.054,3.33,48.82
2021-02-09,610091.147,34.063,45.714,33.628,42.357,3.7,65.92
2021-02-10,332175.253,42.35,46.0,38.738,42.425,3.96,74.74
2021-02-11,289291.056,42.499,48.806,42.063,47.332,4.51,73.71
2021-02-12,228532.212,47.403,48.91,45.5,47.107,4.87,73.07
2021-02-13,322917.402,47.115,58.133,46.778,54.562,5.69,77.89
2021-02-14,235573.488,54.667,57.499,49.794,53.0,6.14,77.99
2021-02-15,259659.952,53.112,56.321,43.34,51.611,6.31,74.06
2021-02-16,379298.731,51.716,62.88,49.412,58.146,6.9,79.46
2021-02-17,601055.295,58.147,78.192,57.287,73.563,8.51,85.56
2021-02-18,430442.604,73.73,86.0,72.398,81.012,10.27,87.11
2021-02-19,278554.403,81.159,82.682,74.508,75.953,11.13,79.82
2021-02-20,359512.528,75.953,78.0,65.0,70.134,11.21,75.22
2021-02-21,268633.892,70.074,79.176,67.562,71.616,11.26,78.73
2021-02-22,384663.734,71.642,71.892,51.666,68.436,10.92,74.97
2021-02-23,612465.103,68.346,69.587,43.1,54.038,9.38,57.79
2021-02-24,399404.438,53.852,59.644,48.768,52.264,7.93,56.42
2021-02-25,247565.526,52.258,58.0,49.05,49.761,6.5,51.64
2021-02-26,243928.194,49.765,51.083,43.12,46.173,5.02,49.4
2021-02-27,129062.795,46.239,51.657,45.641,46.818,3.85,44.53
2021-02-28,195607.764,46.724,47.215,39.114,41.904,2.5,42.52
2021-03-01,213325.458,41.931,47.377,41.162,46.671,1.8,46.81
2021-03-02,224806.775,46.671,50.799,44.492,47.15,1.26,42.31
2021-03-03,155247.509,47.153,50.4,46.489,47.154,0.83,26.45
2021-03-04,146229.029,47.021,48.527,43.348,44.304,0.25,14.33
